Iteration,Xk,FXk
47,"[-0.031673, -0.11618, -0.030894, 0.26714, 0.026815, 0.1535, -0.09783, 0.097439, -0.068878, -0.14435, 0.16898, 0.26084, 0.19482, -0.045953, 0.021983, 0.10316, 0.23867, 0.10676, 0.085433, -0.046763, -0.016436, 0.048975, -0.13726, -0.39856, 0.27675, 0.12267, -0.0067374, 0.034358, -0.13278]",37.212
48,"[-0.030569, -0.11519, -0.030486, 0.26839, 0.027913, 0.15447, -0.097311, 0.098507, -0.068318, -0.14345, 0.17025, 0.26243, 0.19617, -0.044978, 0.022796, 0.10368, 0.23974, 0.10796, 0.086277, -0.046377, -0.015392, 0.049755, -0.13688, -0.39847, 0.27804, 0.12394, -0.0060424, 0.035092, -0.13218]",36.925
49,"[-0.030705, -0.11625, -0.032547, 0.2707, 0.028918, 0.15428, -0.10056, 0.099629, -0.071076, -0.14521, 0.17173, 0.26605, 0.19871, -0.045289, 0.020659, 0.099679, 0.24007, 0.10904, 0.085012, -0.050851, -0.015934, 0.048395, -0.14022, -0.40526, 0.27861, 0.12624, -0.0085884, 0.033652, -0.13448]",36.642
50,"[-0.029624, -0.11528, -0.032158, 0.27192, 0.03, 0.15522, -0.10005, 0.10067, -0.070526, -0.14433, 0.17296, 0.26759, 0.20002, -0.044334, 0.021448, 0.10018, 0.24111, 0.1102, 0.085832, -0.050486, -0.014919, 0.049151, -0.13985, -0.40518, 0.27986, 0.12748, -0.0079123, 0.034361, -0.13389]",36.368
51,"[-0.029716, -0.11625, -0.034221, 0.27421, 0.031061, 0.15504, -0.10319, 0.10177, -0.073183, -0.14603, 0.17437, 0.27111, 0.20251, -0.044588, 0.019347, 0.096236, 0.2414, 0.11124, 0.084589, -0.054929, -0.015488, 0.047797, -0.14316, -0.41182, 0.28037, 0.12975, -0.010398, 0.032931, -0.13611]",36.098
52,"[-0.028653, -0.11529, -0.033846, 0.2754, 0.032132, 0.15596, -0.10269, 0.10279, -0.072639, -0.14517, 0.17556, 0.27262, 0.20379, -0.043647, 0.020118, 0.096724, 0.24241, 0.11238, 0.08539, -0.054581, -0.014499, 0.048534, -0.14281, -0.41174, 0.28159, 0.13096, -0.0097364, 0.033621, -0.13553]",35.833
53,"[-0.028711, -0.11619, -0.035912, 0.27767, 0.033263, 0.15578, -0.10574, 0.10388, -0.075214, -0.14681, 0.17691, 0.27607, 0.20625, -0.043852, 0.018046, 0.092816, 0.24266, 0.11338, 0.08416, -0.059014, -0.015076, 0.047182, -0.1461, -0.41827, 0.28207, 0.13321, -0.012177, 0.032186, -0.13769]",35.573
54,"[-0.027662, -0.11524, -0.035547, 0.27884, 0.034323, 0.15669, -0.10524, 0.10488, -0.074672, -0.14596, 0.17807, 0.27754, 0.20751, -0.042924, 0.018802, 0.093295, 0.24364, 0.11449, 0.084945, -0.058676, -0.014109, 0.047903, -0.14575, -0.41818, 0.28326, 0.1344, -0.011526, 0.032863, -0.13711]",35.321
55,"[-0.027675, -0.11608, -0.037604, 0.28107, 0.035508, 0.15652, -0.10819, 0.10594, -0.077144, -0.14752, 0.17933, 0.28088, 0.20991, -0.04309, 0.016777, 0.089463, 0.24384, 0.11545, 0.083728, -0.063058, -0.014697, 0.046562, -0.14899, -0.42454, 0.28368, 0.13659, -0.013915, 0.031439, -0.13919]",35.072
56,"[-0.026644, -0.11514, -0.037252, 0.28222, 0.036556, 0.15741, -0.1077, 0.10692, -0.07661, -0.14668, 0.18046, 0.28232, 0.21114, -0.042175, 0.017517, 0.08993, 0.2448, 0.11653, 0.084495, -0.062735, -0.013753, 0.047265, -0.14866, -0.42445, 0.28484, 0.13775, -0.013279, 0.032099, -0.13862]",34.828
57,"[-0.026625, -0.11591, -0.039299, 0.2844, 0.037785, 0.15724, -0.11055, 0.10795, -0.078992, -0.14818, 0.18165, 0.28557, 0.21349, -0.042293, 0.015528, 0.086168, 0.24497, 0.11745, 0.083301, -0.067075, -0.014347, 0.045933, -0.15186, -0.43065, 0.28519, 0.1399, -0.015617, 0.030697, -0.14062]",34.593
58,"[-0.025612, -0.11499, -0.038961, 0.28553, 0.038821, 0.15811, -0.11006, 0.10891, -0.078464, -0.14736, 0.18275, 0.28697, 0.2147, -0.041393, 0.016252, 0.086623, 0.2459, 0.11851, 0.08405, -0.066766, -0.013427, 0.046618, -0.15154, -0.43056, 0.28632, 0.14104, -0.014995, 0.031339, -0.14006]",34.358
59,"[-0.025567, -0.11571, -0.041002, 0.28768, 0.040092, 0.15795, -0.11282, 0.10992, -0.080767, -0.14879, 0.18387, 0.29013, 0.217, -0.041482, 0.014304, 0.082918, 0.24604, 0.1194, 0.082872, -0.071062, -0.014031, 0.045302, -0.15469, -0.43662, 0.28664, 0.14314, -0.017285, 0.02995, -0.142]",34.13
60,"[-0.024571, -0.1148, -0.040676, 0.28878, 0.041117, 0.1588, -0.11234, 0.11086, -0.080245, -0.14798, 0.18494, 0.2915, 0.21818, -0.040596, 0.015013, 0.083363, 0.24695, 0.12043, 0.083605, -0.070765, -0.013131, 0.045969, -0.15438, -0.43653, 0.28774, 0.14426, -0.016675, 0.030577, -0.14145]",33.904
61,"[-0.02449, -0.11546, -0.04273, 0.29092, 0.042451, 0.15864, -0.11504, 0.11185, -0.082486, -0.14937, 0.18601, 0.29462, 0.22046, -0.040644, 0.013088, 0.079701, 0.24706, 0.12129, 0.082433, -0.075063, -0.013738, 0.044642, -0.15751, -0.4425, 0.28803, 0.14634, -0.018949, 0.029188, -0.14333]",33.685
62,"[-0.023507, -0.11456, -0.042412, 0.292, 0.043468, 0.15948, -0.11456, 0.11277, -0.081967, -0.14857, 0.18706, 0.29597, 0.22162, -0.039768, 0.013786, 0.08014, 0.24795, 0.12231, 0.083154, -0.074774, -0.012855, 0.045298, -0.1572, -0.44241, 0.28911, 0.14744, -0.018347, 0.029804, -0.14278]",33.469
63,"[-0.023397, -0.11518, -0.044456, 0.29409, 0.044841, 0.15933, -0.11716, 0.11374, -0.084133, -0.14991, 0.18808, 0.299, 0.22385, -0.039791, 0.011897, 0.076539, 0.24803, 0.12314, 0.082, -0.079013, -0.013467, 0.04398, -0.1603, -0.44823, 0.28937, 0.14947, -0.020568, 0.028434, -0.14459]",33.255
64,"[-0.02243, -0.11429, -0.04415, 0.29515, 0.045845, 0.16015, -0.11668, 0.11464, -0.083621, -0.14912, 0.1891, 0.30032, 0.22499, -0.03893, 0.012581, 0.076966, 0.2489, 0.12413, 0.082705, -0.078737, -0.012605, 0.044617, -0.16, -0.44814, 0.29043, 0.15054, -0.01998, 0.029035, -0.14405]",33.05
65,"[-0.022309, -0.11485, -0.046172, 0.29718, 0.047236, 0.16001, -0.11917, 0.11557, -0.085701, -0.1504, 0.19003, 0.30324, 0.22715, -0.03893, 0.010747, 0.073461, 0.24894, 0.12491, 0.081576, -0.082893, -0.013221, 0.043312, -0.16303, -0.45378, 0.29065, 0.1525, -0.022139, 0.027692, -0.14579]",32.847
